ticker,moat,understandability,balance_sheet_health,marketcap
GWLIF,3,4,3,30.3B
STZ,3,2,3,33.4B
HMC,3,3,4,43.3B
AZN,3,3,4,207.5B
AEP,3,2,3,51.6B
TGT,2,2,4,61.1B
GS,3,4,4,192.4B
BKNG,3,2,4,161.0B
QCOM,3,4,4,179.3B
BR,3,3,4,27.0B
ARES,3,3,4,58.8B
NU,3,2,4,54.2B
SW,3,3,4,27.2B
MET,2,4,4,59.5B
LI,2,3,3,23.3B
XEL,3,2,3,38.0B
EW,3,3,5,41.2B
MDT,3,3,4,111.8B
TRP,4,3,3,48.1B
GOLD,2,3,4,27.6B
CUK,2,3,2,29.1B
LOW,3,2,3,146.1B
ASML,4,4,5,295.0B
TPL,4,4,5,32.0B
KLAC,3,3,4,100.0B
FTNT,4,2,5,72.1B
AFL,2,3,4,58.8B
SO,3,1,2,91.9B
ADP,4,3,4,120.7B
NVR,3,2,4,25.6B
URI,2,2,3,49.7B
BHP,2,4,4,126.4B
BRO,3,2,4,30.3B
PSX,2,3,4,49.4B
ENB,2.5,3,3,96.2B
EPD,3,2,4,73.0B
MUFG,2,4,3,140.3B
GOOGL,4,2,5,2.4T
CTA-PA,3,4,4,48.1B
HPE,2,3,4,30.8B
ICE,4,3,4,86.3B
PDD,3,4,4,139.2B
CVNA,2,3,2,27.1B
MBGYY,2,3,4,55.9B
EADSY,2,2,3,127.3B
HDELY,2,2,4,24.1B
SPG,3,2,4,64.8B
CVS,2.5,2,3.5,65.4B
LIN,4,3,4,205.9B
ITUB,3,2,4,48.9B
WDS,2,4,3,30.6B
TEL,2,3,4,43.0B
UAL,2,2,2,34.9B
MU,3,3,4,114.3B
TXN,3,2,5,170.9B
WCN,4,2,4,46.0B
ZTS,3.5,2,4,76.4B
F,2,2,3,39.8B
APH,2,3,4,84.2B
VEEV,3,2,5,34.9B
NTDTY,1,2,2,26.3B
IT,2,3,4,39.5B
TRGP,2,3,3,46.4B
WIT,2,3,4,34.8B
ZM,2,3,4,24.3B
CSCO,3,4,4,238.2B
AON,3,3,4,79.6B
BN,3,4,2,87.3B
APP,2,3,4,111.4B
COP,3,3,4,136.6B
SYY,3,1,4,36.0B
SNY,3,3,4,127.2B
RMD,3,2,4,34.8B
GLD,1,1,5,
HSY,3,2,4,31.2B
HSBC,2,3,4,181.5B
EFX,4,2,4,32.8B
EOG,3,3,5,77.6B
EQNR,3,4,4,68.5B
CRARY,2,2,4,43.2B
CNQ,3,3,4,65.4B
MELI,4,3,4,93.1B
WMT,3,2,4,733.4B
ADM,3,3,4,24.4B
NVO,3,3,4,371.1B
MSFT,4,3,5,3.2T
TROW,3,2,5,24.9B
CHT,3,2,4,29.2B
MSI,3,3,4,77.3B
YUM,3,2,4,35.2B
CPRT,2,2,4,54.3B
TW,3,4,5,28.6B
CNI,3,3,4,64.4B
PAYX,3,2,4,52.9B
INFY,3,2,4,92.4B
WDAY,3,3,5,66.7B
AEM,2,3,4,42.4B
ARM,4,3,5,155.0B
HBAN,2,3,3,24.5B
FUJIY,2,3,4,25.1B
WTW,3,4,4,32.4B
MRAAY,3,3,3,28.1B
FITB,2,2,4,28.7B
UBER,2,3,4,144.4B
HIG,3,3,4,32.6B
PSA,3,1,4,52.2B
FMX,2.5,3,3.5,147.5B
REGN,4,4,5,76.2B
PNC,2,4,3,77.8B
SMPNY,2,3,4,25.4B
EXC,2,2,3,39.5B
NXPI,3,4,4,53.6B
AZO,4,3,3,53.6B
TRI,3,3,4,71.5B
GBTC,2,3,5,
BCS,2,4,3,50.4B
C,1.5,3,3,147.4B
MPWR,4,3,5,29.1B
LYV,3,2,3,30.8B
VTR,2,3,3,24.5B
SNPS,3,3,4,79.7B
ADI,4,3,4,106.7B
KVUE,2,3,4,40.6B
NFLX,3,2,4,360.1B
CDW,3,2,4,25.0B
TMO,4,3,4,214.9B
CDNS,4,3,4,82.0B
ORCL,4,3,4,446.2B
MSCI,4,3,4,47.8B
CMI,2,3,4,50.3B
ABT,3,2,4,197.6B
SCCO,2,2,4,77.0B
BK,2,4,4,59.0B
MRVL,2,4,4,101.7B
NVS,4,3,4,198.5B
RSG,3.5,2.5,4.5,66.4B
HCA,3,3,3,78.4B
CTVA,3,3,4,42.4B
PFE,3,3,4,150.1B
VALE,2,3,4,37.4B
DTE,3,3,3,25.5B
PTCAY,3,2,4,54.2B
ING,2,3,4,50.8B
NTAP,3,3,4,24.4B
FERG,3,2,4,35.4B
COF,3,3,4,71.8B
CRWD,3.5,3,4,89.5B
BX,3,3,4,214.3B
PYPL,2,3,3,89.1B
AMD,2,4,3,192.2B
LHX,3,3,4,41.4B
PCAR,3.5,2,5,57.4B
SMFG,2,4,4,95.5B
OLCLY,4,2,5,35.3B
GIS,3,2,3,32.6B
PHM,2,2,3,24.0B
COIN,2,3,3,70.5B
OTIS,3,2,4,37.2B
EQIX,3,4,3,88.8B
IOT,2,3,3,25.7B
SHOP,4,3,5,134.4B
ANET,3,4,5,148.8B
BNPQY,3,4,4,72.4B
KDP,3,2,3,42.4B
JPM,3,4,3,711.3B
NOC,4,3,4,70.1B
STLA,2,3,4,36.5B
SE,3,4,3,64.1B
PANW,3,3,4,116.3B
DE,3,2,3,119.6B
CVE,2,3,3,27.2B
LLY,4,2,4,681.3B
META,3,2,4,1.5T
CSX,3,2,4,63.6B
TD,3,2,4,97.2B
TEVA,2,4,2,24.6B
BUD,3,2,2,91.6B
RCIT,2,3,4,278.9B
TSLA,3,4,4,1.3T
WELL,3,3,4,80.2B
TEF,2.5,3,3,23.0B
BIDU,3,4,4,28.5B
EA,3,2,4,37.1B
HES,3,2,4,46.1B
SYK,4,3,4,145.5B
ERIC,2,3,4,28.3B
STT,3,4,3,29.5B
DFS,2,3,4,46.5B
RIO,3,3,4,97.8B
SAP,3,3,4,305.1B
GILD,3,4,5,114.2B
PGR,2.5,2,3,143.8B
IQV,3,4,3,35.9B
EQR,2,2,3,27.5B
DEO,3,2,4,65.2B
WBD,2,3,2,23.2B
T,2,3,3,158.0B
GE,2,4,3,194.5B
AMX,3,3,4,42.8B
NEE,3,4,3,146.8B
RY,3,2,4,170.7B
CVX,3,3,4,284.2B
TFC,2,3,4,59.7B
SBUX,3,2,4,107.1B
ORLY,3.5,2,4,69.5B
MDLZ,3,2,3,77.6B
COST,4,2,4,408.3B
ROK,3,3,4,31.8B
